galaxy,quality,radius_nominal_kpc,fractional_velocity_error,shadow_delta_v2_nominal_km2_s2,shadow_sign_probability_positive,shadow_sign_evidence_bits,shadow_fixed_nuisance_closure_cost_sigma,g_observed_p50_m_s2,g_baryonic_p50_m_s2,g_inobservable_p025_m_s2,g_inobservable_p16_m_s2,g_inobservable_p50_m_s2,g_inobservable_p84_m_s2,g_inobservable_p975_m_s2,mass_inobservable_p025_solar,mass_inobservable_p16_solar,mass_inobservable_p50_solar,mass_inobservable_p84_solar,mass_inobservable_p975_solar,inobservable_status,authority
CamB,2,1.47,0.08928571428571429,90.54860000000002,0.92138671875,2.669083121885383,1.96982244061482,6.269512481081191e-12,4.2181356108303734e-12,-8.409940915946742e-13,5.627510352589199e-13,2.0022915183357806e-12,3.5930557574163536e-12,5.436350334678859e-12,-13165678.730559798,9211979.592774931,30524847.426674277,53019236.56633859,77549475.19459917,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
CamB,2,1.79,0.07462686567164178,245.10785000000004,0.9990234375,9.0,4.996240259397122,7.387186512799862e-12,2.871193299662668e-12,1.9127305107610446e-12,3.11126664778292e-12,4.461261722775641e-12,6.052508820405451e-12,7.841351397108674e-12,46714386.13039333,73248542.31590292,100768710.35556912,133287445.02684037,171532471.57433224,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D512-2,2,1.92,0.0808955223880597,858.5924,0.999755859375,11.0,6.369912635053944,1.980995695060252e-11,4.459997439269711e-12,4.7344717543141265e-12,8.870530384271589e-12,1.5322146202892085e-11,2.7748711275180065e-11,5.735844103594076e-11,137871879.28794917,233975815.47988918,373184252.86282754,589221879.8888193,954986851.0485321,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,1.02,0.09337748344370861,162.1033,1.0,12.0003521774803,4.951564428514851,7.387187042819539e-12,2.07554797431074e-12,2.4459647264567827e-12,3.698470997291717e-12,5.2711263315626505e-12,7.1075064229361555e-12,9.463152429680792e-12,18515498.494889624,27693717.490549102,39296909.30103862,52968100.40576288,71292916.56538817,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,1.53,0.09090909090909091,310.53035,1.0,12.0003521774803,5.984294727287493,8.366408529858757e-12,1.7129408817386292e-12,3.603077273908175e-12,4.973046428793678e-12,6.620330136598027e-12,8.807120962360118e-12,1.146692932378289e-11,60771895.28979024,83852613.20963599,111434481.95876253,146677871.46545166,193090563.59844875,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,2.04,0.08310502283105024,394.26914999999997,1.0,12.0003521774803,6.957136730992992,7.676795658611386e-12,1.3463153853281505e-12,3.652992697311036e-12,4.9246243787137014e-12,6.332810843332601e-12,8.137349053898586e-12,1.0403573371556327e-11,111609146.85862713,147052204.29162312,189247669.97271603,243184634.4155462,310803503.5261128,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,2.56,0.07875,492.92305,1.0,12.0003521774803,7.875843502293939,7.359161799380347e-12,1.0451482910739712e-12,3.958985025860917e-12,5.0186878955852566e-12,6.310907492545575e-12,8.051520511875348e-12,1.0029661648348104e-11,184985398.64015427,234929760.2947854,296886822.2696388,376789942.6807368,470615278.7591491,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,3.07,0.08199999999999999,546.17715,1.0,12.0003521774803,7.864281288630403,6.684817202617545e-12,8.272896812304926e-13,3.638050201498923e-12,4.6385057756743386e-12,5.846218572114809e-12,7.363474489922239e-12,9.421633568163184e-12,244435606.42024657,314469226.0130006,395351588.89851534,497365170.0398827,636177113.8543137,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,1.35,0.09038461538461538,181.6212,0.912841796875,2.5202197359709,1.6022848311452778,1.625777220873017e-11,1.1856833962103507e-11,-1.7489264381973341e-12,1.1887989345771257e-12,4.308803243023019e-12,7.693420883147918e-12,1.1818336341532555e-11,-23017283.454917036,15496566.645801263,56062902.78600371,99750346.5739864,150769264.2273274,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,1.8,0.07184466019417476,376.03315,0.9921875,6.0,3.082080411975007,1.7258329564676408e-11,1.0411658847469642e-11,1.298567124205808e-12,3.9928840950029944e-12,6.729607581881593e-12,9.773124420865897e-12,1.2813317551908208e-11,30117778.9129851,92595523.2199685,156902801.33893383,225017868.454954,294763517.9851013,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,2.25,0.05244956772334294,609.6768000000002,1.0,12.0003521774803,5.670005142352957,1.7395665928817126e-11,8.555470788520115e-12,4.541824898390824e-12,6.631724384727494e-12,8.757841203019418e-12,1.112525447296221e-11,1.3554750365180142e-11,167321344.84510666,240331594.09000108,317230082.4999228,403092129.7635788,487008089.0470714,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,2.69,0.04664948453608248,904.6990999999998,1.0,12.0003521774803,7.895018607809939,1.8154595958230798e-11,7.232876467112902e-12,7.09086168485559e-12,8.810722655070055e-12,1.090393590623685e-11,1.3167019006542171e-11,1.5498011086567867e-11,369191936.48788804,459104794.3932462,563308038.2376113,678622670.8201699,804292014.997466,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,3.14,0.036941176470588234,1225.8323,1.0,12.0003521774803,11.724930177680175,1.8654306735121394e-11,5.987123448545419e-12,9.23235895998397e-12,1.0877419702309825e-11,1.2630756510637287e-11,1.4675103549804146e-11,1.691520631146391e-11,659609034.8653219,770628378.9212565,893242873.3884223,1031074516.6812179,1182096226.9140563,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,3.59,0.034868421052631576,1521.4167000000002,1.0,12.0003521774803,13.823381484059107,1.8791314369590362e-11,5.034106135981933e-12,1.0551469763386285e-11,1.1988877285008313e-11,1.3714152887578216e-11,1.562222051308142e-11,1.780017371299062e-11,980187190.7665472,1112777222.2248619,1265790446.2633119,1440663586.4434118,1634867237.7772117,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,4.04,0.037500000000000006,1847.9771499999997,1.0,12.0003521774803,14.04545643964277,1.9109393083430258e-11,4.277260266883634e-12,1.1401061923898561e-11,1.29988553694057e-11,1.4812964772558203e-11,1.6895033704669403e-11,1.8973504596033424e-11,1339229284.1819372,1526051133.5098853,1735119310.699866,1964805685.4502852,2188441317.7307253,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,4.49,0.03687258687258687,2182.24995,1.0,12.0003521774803,15.401671718383437,1.9371751974715082e-11,3.614404064394733e-12,1.2261944997690302e-11,1.3859871999087676e-11,1.5717898376631902e-11,1.7831576650362766e-11,2.0002382335038887e-11,1789190980.022286,2013760361.514258,2272267518.2782784,2558974839.616139,2873763439.829815,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,4.94,0.03996350364963504,2531.3958999999995,1.0,12.0003521774803,15.106224372084453,1.9752885524312155e-11,3.0927920627094582e-12,1.3034605901726932e-11,1.4646674548655086e-11,1.6635362543565737e-11,1.8818310549518857e-11,2.107169822920484e-11,2279168522.4548435,2570744747.590673,2904581860.602415,3280609601.6901064,3689708085.546793,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,5.39,0.04823321554770318,2763.5936,1.0,12.0003521774803,13.049312806030255,1.9249520078627684e-11,2.6442340959846277e-12,1.2594540553944085e-11,1.4490298975158763e-11,1.6580362148320248e-11,1.9057338595408112e-11,2.1575660421320807e-11,2634076591.813603,3009013904.0392914,3459153586.901231,3943253152.3114057,4458931288.725246,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,5.84,0.055993150684931506,2999.99625,1.0,12.0003521774803,11.66288294699492,1.895747685248616e-11,2.2774092829329025e-12,1.2267770926094447e-11,1.4377061124081408e-11,1.6678895147891353e-11,1.9334491710155598e-11,2.2071756856620623e-11,2989321532.841781,3526627105.7646003,4069924448.5891275,4722162404.251701,5402511089.327654,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,6.29,0.06752136752136753,3039.56505,1.0,12.0003521774803,9.85763671308112,1.772586449951557e-11,1.9709095503865937e-12,1.096081227085245e-11,1.326905833630518e-11,1.574202659557544e-11,1.8559985380544528e-11,2.1596645449071524e-11,3146159630.505782,3762060611.0831265,4468343599.864239,5258380720.484934,6126974531.208179,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,6.74,0.07053726169844021,2972.3512000000005,1.0,12.0003521774803,9.534932669646793,1.6072539554057434e-11,1.715580388985294e-12,9.926867348541478e-12,1.1988931056135658e-11,1.4356169617841483e-11,1.696280668788474e-11,1.9934980943525422e-11,3205276420.615381,3913541662.185254,4674841608.419554,5501858891.987035,6496071255.388878,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,7.19,0.068760907504363,2950.6458999999995,1.0,12.0003521774803,9.914077821314805,1.48719725111865e-11,1.498746632900404e-12,9.338524100441121e-12,1.1218623867391461e-11,1.3360283193746863e-11,1.5709764581635152e-11,1.8339039120163196e-11,3491190740.109479,4161646102.319526,4947454703.56114,5817923499.5047035,6744282541.534458,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO064,1,1.88,0.09978401727861771,1622.9985999999997,1.0,12.0003521774803,5.082540386586832,3.717325050931656e-11,8.976038932023597e-12,9.653045597811035e-12,1.7228584458356718e-11,2.813917629609431e-11,4.772219846582245e-11,9.410682480465889e-11,261841800.79548773,444523472.8126787,674494341.8066728,966264665.6902934,1341019628.057046,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO064,1,2.08,0.09956896551724138,1584.8254,0.99951171875,10.0,4.884074836878027,3.401022215512159e-11,8.852144513773796e-12,8.47389187260762e-12,1.490664975750715e-11,2.5145801344069567e-11,4.3511575167285535e-11,8.350752650535463e-11,293636928.384744,487405650.694843,722261067.0117722,1049562841.775477,1445258025.3491445,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO064,1,2.27,0.09978401727861771,1560.7046499999997,1.0,12.0003521774803,4.795435159547527,3.1257255893232124e-11,8.323226627875982e-12,7.381032067496645e-12,1.3707502556021687e-11,2.2828969251898617e-11,3.848288155544798e-11,7.487567268057139e-11,310282764.3365731,521189450.1645015,780380627.4943146,1113840451.77448,1549106112.1180587,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,0.99,0.037037037037037035,305.05715000000004,1.0,12.0003521774803,11.114528552007025,1.530023349644827e-11,5.29721155195677e-12,6.490971945133282e-12,8.11672147701295e-12,9.88433507252939e-12,1.1799528855288807e-11,1.3625851234709276e-11,46358120.89586578,57787808.77704077,69538467.44667673,81537930.14322367,93315744.50690965,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,1.48,0.02422145328719723,633.2018499999999,1.0,12.0003521774803,20.98148983334367,1.8313327678169726e-11,4.428911118670228e-12,1.082036816036065e-11,1.2323480150487607e-11,1.3845971261623615e-11,1.5513261434610105e-11,1.7399482895541837e-11,176705571.86346215,196043746.5716467,217002345.02722883,240456524.73048368,265982744.08380288,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,1.97,0.01457725947521866,932.4817999999998,1.0,12.0003521774803,37.35847634957603,1.9395459764199457e-11,4.0173803105013715e-12,1.269098462036185e-11,1.3906713974128918e-11,1.5344591303266788e-11,1.6965931202854595e-11,1.882922933624758e-11,364773129.3524468,393309270.1009648,425260984.3332702,464688600.640521,505746015.6617655,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,2.47,0.010471204188481676,1189.2709000000002,1.0,12.0003521774803,54.42315889701352,1.9190503835872484e-11,3.544185873595013e-12,1.3070897425115224e-11,1.4279431501784348e-11,1.5619653084382827e-11,1.7124022024577542e-11,1.886473009417001e-11,591004691.202824,631710781.175754,682547918.6500304,737623472.1179988,803787428.3222326,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,2.96,0.004761904761904762,1459.6072,1.0,12.0003521774803,122.76571774812382,1.936519751828159e-11,3.3340461304170654e-12,1.3566669788533438e-11,1.4691916469424026e-11,1.601691318605976e-11,1.7487905732950997e-11,1.9145599809407356e-11,876563845.2312464,935065871.2596563,1003488971.1831923,1080974707.2178783,1174777904.410464,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,3.46,0.004484304932735426,1644.37155,1.0,12.0003521774803,130.15759993408184,1.867910992475089e-11,3.230415425614005e-12,1.3084909360903903e-11,1.4160755361372891e-11,1.544355155179162e-11,1.6838034054593768e-11,1.8466772405258536e-11,1153406537.7240577,1231284706.7237515,1321539961.4378755,1424186998.5728576,1546626071.153202,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,3.95,0.004319654427645789,1792.7354499999997,1.0,12.0003521774803,137.8310950741923,1.7616276367029565e-11,2.8801509954536382e-12,1.2512576797140598e-11,1.3528779516493691e-11,1.4727914884848603e-11,1.607509718647964e-11,1.759254647728992e-11,1441300200.5861197,1533765174.5931785,1643259880.869709,1772571482.7835207,1921902981.8377137,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,4.44,0.006329113924050633,1914.6375499999997,1.0,12.0003521774803,97.25257664357734,1.644840039944111e-11,2.424760883625487e-12,1.192330260291864e-11,1.287662952258141e-11,1.4020228851794404e-11,1.5272684754161303e-11,1.6719591192125016e-11,1727664786.4214904,1840777470.80918,1972652334.5796192,2129925011.64004,2296582511.997961,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,4.94,0.012448132780082987,2012.8790500000002,1.0,12.0003521774803,50.97155971524276,1.5262465130008877e-11,2.0365223653667346e-12,1.1196966129549784e-11,1.2167082186204504e-11,1.3222744877069134e-11,1.4450858043334194e-11,1.5808595642724355e-11,2004701620.9743392,2144365295.4752138,2310331817.1741066,2503269384.9360056,2718062920.569878,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,5.43,0.014767932489451477,1960.2703499999998,1.0,12.0003521774803,43.5342783713993,1.344316979881566e-11,1.7102361437519912e-12,9.931223507522499e-12,1.0750957732499293e-11,1.1728839929283373e-11,1.281218394971202e-11,1.4047435335711252e-11,2135606378.8525372,2297295060.670444,2473602315.247993,2680384197.500293,2925406449.360284,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO154,2,5.92,0.028571428571428574,1806.0466,1.0,12.0003521774803,22.496665533504068,1.137248561885383e-11,1.4466475584282427e-12,8.064195507579135e-12,8.93017700681611e-12,9.923106445479375e-12,1.1017696648938397e-11,1.2209989355036427e-11,2065584682.9406633,2262146612.1798196,2490794131.596882,2743561612.1821165,3017570382.6591578,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,1.54,0.09480968858131489,351.7847999999999,0.93603515625,2.96657699846255,2.523017342070401,1.8153032311477363e-11,1.0155601685090064e-11,-1.5379259524256974e-12,2.2115102662679926e-12,7.897469602751346e-12,1.786112035333677e-11,4.0265079313845446e-11,-53317449.560733035,48537371.83259879,117816969.74044195,197085192.95475176,309508664.7862717,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,2.02,0.08054711246200608,420.7191999999999,0.93017578125,2.8401286632216105,2.7081693361816486,1.797888995630512e-11,1.0599255553941311e-11,-1.8262969629462044e-12,1.9118049014048754e-12,7.2057158078815535e-12,1.680917152916485e-11,3.8360126733901774e-11,-113574200.61190036,77412846.53242981,187281183.20837215,306695819.00754225,485098619.9606897,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,2.49,0.0818181818181818,441.81835000000024,0.899658203125,2.317005416318317,2.4183632718758328,1.653916317242599e-11,1.03615298289511e-11,-2.1725141526668186e-12,1.0580765943968594e-12,6.093781856727129e-12,1.5315645734328505e-11,3.501594944287833e-11,-193632840.735958,65427468.40403986,242103517.65599477,406287360.9242133,655556450.3027275,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,2.96,0.08111702127659574,533.5415500000001,0.921630859375,2.673570512877697,2.6004997724892345,1.6030013340842013e-11,9.624832952825127e-12,-1.4990931426841675e-12,1.5224646137097393e-12,6.333556219964219e-12,1.472608072436157e-11,3.372406078635589e-11,-199973151.35171887,129914292.48848018,343958385.7535882,569029135.2608317,920588050.8394191,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,3.43,0.09064039408866995,722.1271000000002,0.955810546875,3.500154112916795,2.7624797137889487,1.6121444162931873e-11,8.741262518346585e-12,-6.984189134153896e-13,2.369030632167083e-12,7.316919596654685e-12,1.6067269720664048e-11,3.446593380224331e-11,-124656891.79993105,259258078.94515052,544113335.4394908,884133594.6851287,1384344549.535085,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,3.9,0.07611241217798595,854.1555500000002,0.9755859375,4.356143810225276,3.5597155889910637,1.5611089899291356e-11,8.044570349216174e-12,1.5740639038827705e-14,3.0037185916151174e-12,7.382952075809923e-12,1.5904081149728872e-11,3.4825960859121654e-11,4218758.30825831,422397747.60301375,728123416.7086574,1117243733.973149,1765804819.1866186,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,4.37,0.06571428571428573,1076.2922999999998,0.992431640625,6.045803689613125,4.67321247609798,1.5927381258039393e-11,7.36377657166934e-12,9.770718556375524e-13,3.9214574871897914e-12,8.490156062520719e-12,1.685772066030575e-11,3.4963918059020236e-11,260974296.73783976,669618884.5109105,1036113689.6804383,1514839999.7615478,2295161414.2643085,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,4.86,0.04008179959100205,1377.0386,0.999267578125,9.415037499278844,8.700990897547648,1.6388380945450647e-11,6.756545017706696e-12,2.4401560604200076e-12,5.2091874250563445e-12,9.515494485118216e-12,1.7807836020740748e-11,3.721481187247294e-11,738089110.9709764,1102596408.1077974,1473180681.590855,1997176632.3640103,2946488026.035362,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,5.34,0.02970873786407767,1621.43585,1.0,12.0003521774803,12.6756244743898,1.6583333608244976e-11,6.2506904005019715e-12,3.214440632900365e-12,5.940183518407937e-12,1.0237233300945675e-11,1.8686831164139195e-11,3.7504646881723396e-11,1057745151.4497219,1485053577.3812609,1923179698.5794342,2549879552.215739,3707020726.0925264,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,5.81,0.03509433962264151,1769.37595,0.999755859375,11.0,11.15956902740785,1.6174696658389068e-11,5.794633245608068e-12,3.4013284607397184e-12,6.068606248481316e-12,1.0265194216383716e-11,1.843814076242606e-11,3.7032809526427855e-11,1225381251.6594944,1772422112.8027802,2317942044.873122,3039252893.2529593,4409703151.048808,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,6.28,0.02690909090909091,1967.5898,1.0,12.0003521774803,15.19064572162354,1.6087981923818825e-11,5.453009204274905e-12,3.818120645984344e-12,6.341446237383507e-12,1.0578019407374794e-11,1.858599349962993e-11,3.728917219270291e-11,1470416188.647502,2179907694.524486,2784279068.13291,3644848043.8500977,5191960788.443974,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,6.75,0.017187499999999998,2241.1690500000004,1.0,12.0003521774803,25.03894402866235,1.6371803372528164e-11,5.165653081690843e-12,4.445773094027698e-12,6.923721596371797e-12,1.1150415916348827e-11,1.9509786961544162e-11,3.810329145374951e-11,1825744053.619245,2722093214.8102474,3450550674.1959276,4477238607.229086,6276356056.423855,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,7.22,0.019932998324958123,2458.2078,1.0,12.0003521774803,22.222851116558996,1.6403580820776323e-11,4.961076936671963e-12,4.675152172621317e-12,7.190841779029529e-12,1.1398488691838258e-11,1.95242276445656e-11,3.917714167457633e-11,2103945471.4678354,3166638044.8081737,4046164400.42217,5265381954.996886,7348988623.383748,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,7.69,0.020826446280991735,2513.2126,1.0,12.0003521774803,21.136555085049253,1.5896728863702636e-11,4.8314849331267615e-12,4.4209592713731205e-12,6.8986789699741646e-12,1.1031204520227413e-11,1.893634873223989e-11,3.720708346365002e-11,2290746909.7033715,3437217717.360126,4416278754.442552,5766693247.920775,8033167582.365154,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,8.16,0.021521035598705503,2628.3145999999997,1.0,12.0003521774803,20.518957129625292,1.564875926522169e-11,4.727659226048241e-12,4.249828682894778e-12,6.802116065502279e-12,1.08427619224901e-11,1.8602107740500593e-11,3.75468403182218e-11,2524295906.5184703,3808867314.458588,4883501586.646447,6352198237.699866,8759601846.954351,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,8.64,0.021462639109697933,2738.43995,1.0,12.0003521774803,20.74116470686182,1.5259748052416378e-11,4.566583978653893e-12,4.278393237774783e-12,6.7258667382126795e-12,1.0627403797748723e-11,1.8222449544284495e-11,3.6063175705030354e-11,2820234557.058148,4207192774.190467,5420233866.521265,7007252943.790784,9667114633.325008,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,9.11,0.03317460317460317,2721.2853000000005,1.0,12.0003521774803,13.242581219361037,1.4476229896654968e-11,4.4369073699509174e-12,3.810305575215142e-12,6.2396224951945365e-12,1.0030891539568906e-11,1.728425232612083e-11,3.48219156511266e-11,2962588628.4152775,4336106576.762982,5644922148.272851,7473836869.062478,10299399356.401371,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,9.58,0.03689922480620155,2910.8887999999997,1.0,12.0003521774803,12.249452139238416,1.4530231699044863e-11,4.2248939827181635e-12,4.069710974147272e-12,6.431504758256059e-12,1.0272678071657876e-11,1.754970310850785e-11,3.40623543491062e-11,3159111644.4653025,4851063717.92861,6369851867.571875,8457090847.881024,11716690861.897892,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
DDO161,1,10.05,0.016463414634146346,3061.4554,1.0,12.0003521774803,28.11049365783684,1.4309784580407055e-11,4.00334681647848e-12,4.333891531453144e-12,6.564584400485296e-12,1.0267234525257411e-11,1.7377305657001198e-11,3.36032513102702e-11,3606007097.6686835,5509525866.718678,7078702488.33082,9170626243.142828,12626565474.910225,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
